event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
KAZ2710,2021-12-02,2021,1,Demonstrations,Protests,Peaceful protest,Protesters (Kazakhstan),Labor Group (Kazakhstan),Protesters,,,,Protesters only,,398,Caucasus and Central Asia,Kazakhstan,Mangystau,Aktau,,Aktau,43.6624,51.1702,1,Lada,National,"On 2 December 2021, workers of the Caspi Bittum company protested outside their main office in Aktau city of Mangystau region demanding fifty percent pay raise and calling for the country's president to assist them with resolving their labor dispute between protesters and their employer.",0,crowd size=no report,1729632723
SYR11276,2017-08-21,2017,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Syria),,Political militia,,,,Political militia only,,760,Middle East,Syria,Rural Damascus,Rural Damascus,Babella,Sayyeda Zeinab,33.4466,36.3406,1,SOHR,Other,A shell fell on Sayyeda Zeinab town in Rural Damascus. No fatalities were reported.,0,,1720478136
AFG16660,2019-02-20,2019,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Afghanistan (2014-2021),,State forces,Taliban,,Rebel group,State forces-Rebel group,,4,Caucasus and Central Asia,Afghanistan,Zabul,Qalat,,Qalat,32.1058,66.9083,3,Bakhtar News Agency,National,"On 20 February 2019, 10 Taliban militants were killed and 4 were wounded by artillery fire conducted by Afghan Military Forces in Zabul province.",10,,1652376175
DEU11194,2022-02-13,2022,1,Demonstrations,Protests,Peaceful protest,Protesters (Germany),,Protesters,,,,Protesters only,,276,Europe,Germany,Saarland,Regionalverband Saarbrucken,,Saarbrucken,49.234,6.9863,1,Saarbruecker Zeitung,Subnational,"On 13 February 2022, around 5,800 people demonstrated in Saarbrucken against coronavirus-related measures including possible compulsory vaccination.",0,"crowd size=around 5,800",1645565057
IND12667,2016-12-28,2016,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Labor Group (India),Protesters,,,,Protesters only,,356,South Asia,India,Haryana,Karnal,Karnal,Karnal,29.6919,76.9844,1,Chandigarh Tribune,National,"On 28 December 2016, members of the Anganwari Workers' Union staged a protest at Karnal town (Haryana) in support of their demands.",0,,1702343685
IND156222,2024-04-18,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (India),,Protesters,,,,Protesters only,,356,South Asia,India,Kerala,Kozhikode,Kozhikode,Kozhikode,11.248,75.7804,1,The Hindu,National,"On 18 April 2024, a sexual assault survivor along with her supporters launched a protest in front of the office of the District Police Chief's office in Kozhikode city (Kerala) demanding the authorities to give her copies of the various investigations reports carried out based on her complaint.",0,crowd size=no report,1715717047
IND133580,2023-06-15,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (India),KRRS: Karnataka State Farmers Association; Farmers (India),Protesters,,,,Protesters only,,356,South Asia,India,Karnataka,Koppal,Koppal,Koppal,15.3452,76.1547,1,The Hindu,National,"On 15 June 2023, members of the KRRS staged protests across all district headquarters including Koppal city (Koppal, Karnataka) demanding the INC led state government to withdraw the Karnataka Land Reforms Act, the Karnataka Prevention of Slaughter and Preservation of Cattle Act, and the Agriculture Produce Marketing Committees (APMC) Act enacted by the previous BJP-led state government. Protesters also submitted petitions to the Chief Minister through the Deputy Commissioner of the district.",0,crowd size=no report,1687271787
HTI3251,2022-08-12,2022,1,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Haiti),,Political militia,Civilians (Haiti),Taxi/Bus Drivers (Haiti),Civilians,Political militia-Civilians,Civilian targeting,332,Caribbean,Haiti,Ouest,Port-au-Prince,Tabarre,Tabarre - Galette/Greffin,18.54,-72.2317,1,Haiti Standard; Le Nouvelliste (Haiti),National,"On 12 August 2022, in Tabarre - Galette/Greffin, Ouest, unidentified armed men driving a vehicle shot and killed four people, including moto taxi drivers, and injured several others, during a drive-by shooting in the Tabarre 49 area (Galette/Greffin neighborhood). Motivation unknown. 4 fatalities.",4,,1729632997
MMR74581,2023-02-08,2023,1,Political violence,Violence against civilians,Attack,Military Forces of Myanmar (2021-),,State forces,Civilians (Myanmar),,Civilians,State forces-Civilians,Civilian targeting,104,Southeast Asia,Myanmar,Sagaing,Kale,Kale,Kale,23.1568,94.1222,1,Khit Thit Media,Subnational,"On 8 February 2023, in Kale town (Kale township, Kale district, Sagaing region), the Myanmar military raided a house and shot dead a man and his wife, who was five months pregnant, with around 15 gunshots at around 11 pm. The military then set fire to the house and burned their bodies along with the house.",2,,1731645208
LBN2883,2019-12-09,2019,1,Demonstrations,Protests,Peaceful protest,Protesters (Lebanon),,Protesters,,,,Protesters only,,422,Middle East,Lebanon,Bekaa,West Bekaa,,Ghazze,33.6683,35.8264,1,An-Nahar,National,"On 9 December 2019, On day 54 of the anti-government demonstrations, demonstrators blocked a road in Ghazze.",0,crowd size=no report,1649356299
PHL4742,2018-04-09,2018,1,Political violence,Battles,Armed clash,NPA: New People's Army,Armed Drug Suspects (Philippines),Rebel group,Military Forces of the Philippines (2016-2022),,State forces,State forces-Rebel group,,608,Southeast Asia,Philippines,Western Visayas,Negros Occidental,Cauayan,Camalanda-an,9.8569,122.4969,1,Philippine Star,National,"Army soldiers killed a suspected New People's Army (NPA) guerrilla at Barangay Camalanda-an, Cauyan, Negros Occidental on April 9. Military suspected that the rebel and his companions were behind the assassination attempt on CAFGU member Wilson Gerenola. The fatality is also a drug surrenderer.",1,,1657063731
IND154747,2024-03-30,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (India),INC: Indian National Congress,Protesters,,,,Protesters only,,356,South Asia,India,Chhattisgarh,Surajpur,Surajpur,Surajpur,23.2134,82.8683,1,Pioneer (India),National,"On 30 March 2024, members of INC, as part of a nationwide agitation, held a protest at all district headquarters in Chattisgarh state including at Surajpur city (Chhattisgarh) against the income tax notice issued to the party to pay Rs 1,823.08 crore.",0,crowd size=no report,1712695425
NIG23109,2022-01-01,2022,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Nigeria (2015-2023),,State forces,Zamfara Communal Militia (Nigeria),,Identity militia,State forces-Identity militia,,566,Western Africa,Nigeria,Zamfara,Kiyawa,,Birnin Magaji,12.5592,6.8946,2,Daily Independent (Nigeria); Daily Post (Nigeria),National,"On 1 January 2022, Nigerian military forces carried out air strikes targeted at Zamfara militiamen in Birnin Magaji LGA ( Kiyawa, Zamfara). Scores of militiamen were killed during the operation launched after the group was seen gathering for the burial of one of their leaders, killed on a previous airstrike (coded separately). Scores of fatalities coded as 20.",20,,1702343246
BRA70873,2023-05-21,2023,1,Political violence,Violence against civilians,Attack,Unidentified Gang (Brazil),,Political militia,Civilians (Brazil),,Civilians,Political militia-Civilians,Civilian targeting,76,South America,Brazil,Acre,Rio Branco,,Rio Branco,-9.9747,-67.81,1,O Rio Branco,Subnational,"On 21 May 2023, in Rio Branco (Acre), an adolescent was killed and his mother was injured in a drive-by shooting in the Belo Jardim neighborhood by two armed individuals in a car. The suspects were arrested and admitted they were hired by members of a drug trafficking group to kill a random person in the neighborhood. 1 fatality.",1,,1685394087
IRQ7840,2016-02-20,2016,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Iraq (2014-2018),,State forces,Islamic State in Iraq and the Levant (ISIL),,Rebel group,State forces-Rebel group,,368,Middle East,Iraq,Al Anbar,Heet,Markaz Heet,Hit,33.6366,42.8277,1,Iraqi News,National,"On 20 February 2016, Iraqi airstrikes hit a farm belonging to Islamic State militants killing the Wali of Anbar and his assistant along with 20 other IS militants in Hit west of Ramadi.",22,,1730156873
SAF17092,2022-07-04,2022,1,Demonstrations,Protests,Peaceful protest,Protesters (South Africa),DA: Democratic Alliance,Protesters,,,,Protesters only,,710,Southern Africa,South Africa,Gauteng,City of Johannesburg,City of Johannesburg,Johannesburg - Midrand,-25.9895,28.1284,1,Midrand Reporter,Subnational,"On 4 July 2022, about 20 DA supporters led by the Ward 132 Councilor staged a protest in Johannesburg - Midrand (City of Johannesburg, Gauteng) against the fuel price hike.",0,crowd size=about 20,1657570799
BRA11732,2020-02-04,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Brazil),Labor Group (Brazil),Protesters,,,,Protesters only,,76,South America,Brazil,Bahia,Salvador,,Salvador,-12.9711,-38.5108,1,G1,National,"On 4 February 2020, in Salvador, Bahia, civil servants gathered at a square in the city center to protest against state social security reform bill.",0,crowd size=no report,1582840216
